ds,yhat
2014-01-31,14790.564205465584
2014-02-28,5778.539467165989
2014-03-31,41875.34394076969
2014-04-30,25662.724026451593
2014-05-31,25711.928215621752
2014-06-30,26711.737280019755
2014-07-31,26438.133907538526
2014-08-31,30856.591599126983
2014-09-30,67621.1181482136
2014-10-31,36077.387272645086
2014-11-30,78301.26791311563
2014-12-31,69991.58410029116
2015-01-31,18738.34117865482
2015-02-28,13880.715060560939
2015-03-31,49598.626245192296
2015-04-30,34576.01666999356
2015-05-31,26387.6128959986
2015-06-30,31085.92534598134
2015-07-31,33255.720418014505
2015-08-31,40664.29405820409
2015-09-30,76492.06827638058
2015-10-31,35984.17831309044
2015-11-30,86921.11698587614
2015-12-31,75920.60614381377
2016-01-31,23165.283678658358
2016-02-29,14902.05513362485
2016-03-31,51723.80468193272
2016-04-30,33016.27789396949
2016-05-31,49868.217037728915
2016-06-30,44187.68679068996
2016-07-31,39287.64332021785
2016-08-31,37700.295195655795
2016-09-30,75996.70555207544
2016-10-31,62955.82738199591
2016-11-30,88181.70952612726
2016-12-31,85608.11629175724
2017-01-31,38211.23616666416
2017-02-28,25246.659743274686
2017-03-31,61845.98893181913
2017-04-30,44535.973569066846
2017-05-31,53069.81844948877
2017-06-30,50739.85279503695
2017-07-31,48243.15074632271
2017-08-31,49797.13243223351
2017-09-30,87518.63702275096
2017-10-31,65271.07068643762
2017-11-30,99056.32018845709
2017-12-31,93756.95158333075
2018-01-31,44491.08130378324
2018-02-28,35661.189750016165
2018-03-31,71959.64167956407
2018-04-30,55942.164464581496
2018-05-31,56193.01611291468
2018-06-30,57387.967881020646
2018-07-31,57316.01196905469
2018-08-31,61936.11712454436
2018-09-30,98895.78637717594
2018-10-31,67553.70296204218
2018-11-30,109972.72630459584
2018-12-31,101864.68994686886
